||{f5}　　　　　　ダメ！{END}|{f5}I mean it!{END}
||{f5}　あそこは、悪魔がすんでいて{END}|{f5}A demon lives there!{END}
||{f5}　　　　わかった、わかった{END}|{f5}I know, I know{ELLIPSIS}{END}
||{f5}　　　　じゃ、行ってくるね{END}|{f5}OK, I'm off.{END}
||{f5}　　　　呪い山の方には{NL}　　　　行っちゃダメだよ！{END}|{f5}Don't go near Mt. Curse!{END}
||{f5}　　　　　『呪い山』{END}|{f5}{END}
0x148230|8|ボックスが落ちている。{NL}これ位の大きさのものなら、僕でも{NL}手で持ち運べそうだ…{BP}{f5}{COLOUR:YELLOW}物に近づいて{BUTTON:01}で物を拾う{NL}ことができる。{BP}{f5}物を持った状態で、{BUTTON:07}で{NL}かまえて{BUTTON:01}で物を投げる{NL}ことができるぞ。{BP}{END}|I can lift this box{ELLIPSIS}{BP}{f5}{COLOUR:YELLOW}Grab things with {BUTTON:CIRCLE}.{BP}{f5}With something held, use {BUTTON:R2} to{NL}aim and {BUTTON:CIRCLE} to throw it.{BP}{END}
||思い切ってジャンプして、向こう{NL}側のふちにつかまれば、わたれる{NL}かもしれない…{BP}{f5}{COLOUR:YELLOW}{BUTTON:00}の{COLOUR:CYAN}↑{COLOUR:YELLOW}を押しながら{BUTTON:02}{NL}でジャンプして、{BUTTON:01}でふちに{NL}つかまることができるぞ。{BP}{END}|It'll take a leap of faith to{NL}reach the other side{ELLIPSIS}{BP}{f5}{COLOUR:YELLOW}Jump with {BUTTON:X} and {BUTTON:D} {COLOUR:CYAN}{UP}{COLOUR:YELLOW}, then{NL}grab the ledge with {BUTTON:CIRCLE}.{BP}{END}
||ふちにつかまったまま、左に移動{NL}してみよう。{NL}先に進めるかもしれない…{BP}{f5}{COLOUR:YELLOW}{BUTTON:01}を押したまま、{BUTTON:00}の{NL}{COLOUR:CYAN}←{COLOUR:YELLOW}・{COLOUR:CYAN}→{COLOUR:YELLOW}でふちをつたって移動できる{NL}ぞ。{BP}{END}|I can slide left here{ELLIPSIS}{BP}{f5}{COLOUR:YELLOW}Move along a ledge with {BUTTON:D} {COLOUR:CYAN}{LEFT}{NL}{COLOUR:YELLOW}or {COLOUR:CYAN}{RIGHT}{COLOUR:YELLOW} while holding {BUTTON:CIRCLE}.{BP}{END}
||ちょっと危ないけど、ここなら{NL}前後にスイングしてジャンプできる{NL}かもしれない…{BP}{f5}{COLOUR:YELLOW}{BUTTON:00}の{COLOUR:CYAN}↑{COLOUR:YELLOW}と{COLOUR:CYAN}↓{COLOUR:YELLOW}を使ってスイング{NL}ができる。{NL}スイング中に{BUTTON:01}をはなすと{NL}ジャンプができるぞ。{BP}{f5}{BUTTON:05}を押せば、バーに{NL}つかまったままでも１８０度反転を{NL}することができる。{BP}{END}|It's risky, but I can swing hereand jump{ELLIPSIS}{BP}{f5}{COLOUR:YELLOW}Swing with {BUTTON:D} {COLOUR:CYAN}{UP}{COLOUR:YELLOW} and {COLOUR:CYAN}{DOWN}{COLOUR:YELLOW},{NL}then release {BUTTON:CIRCLE} to jump.{BP}{f5}While on the bar, use {BUTTON:R1} to do a180° turn.{BP}{END}
||この黄色い柱の上の奥に通路が{NL}あるようだ…{NL}{BP}{f5}{COLOUR:YELLOW}カメラモードは、{BUTTON:L2}で{NL}見回しているときに{NL}{BUTTON:TRIANGLE}できりかえることが{NL}できるぞ。{NL}{BP}{f5}カメラモードには、{NL}ついびモードとマップモードの{NL}２しゅるいがあるぞ。{BP}{END}|I see a path past this yellow{NL}pillar{ELLIPSIS}{NL}{BP}{f5}{COLOUR:YELLOW}Switch camera modes with {BUTTON:TRIANGLE} whilelooking with {BUTTON:L2}.{NL}{BP}{f5}The modes are follow from{NL}behind, or fixed.{BP}{END}
||{ITEM:ff}を手に入れた！{BP}{END}|Found {ITEM:ff}!{BP}{END}
||アイテムが置いてあるけど、{NL}バリアがはられているので{NL}アイテムが取れない。{BP}{f5}{ITEM:44}を使えば、バリアが{NL}消えて、アイテムを取ることが{NL}できるようになるぞ。{BP}{f5}{ITEM:44}はモンスターが{NL}持っている。{BP}{END}|Item is sealed.{BP}{f5}Foes drop {ITEM:44}{COLOUR:BLUE}s{COLOUR:WHITE} to lift{NL}seals and take items.{BP}{END}
||{ITEM:44}を使った！{NL}バリアが解けてアイテムを{NL}取れるようになったぞ！{BP}{END}|Used {ITEM:44}!{NL}Seal lifted, you can take the{NL}item!{BP}{END}
0x158798|10|下の床はもろくなっているようだ。{NL}ふみつければ壊せるかもしれない…{NL}{BP}{f5}{COLOUR:YELLOW}{BUTTON:X}でジャンプして、{NL}ジャンプ中に{BUTTON:TRIANGLE}を押すと、{NL}踏みつけができるぞ。{BP}{END}|The floor looks fragile, maybe I{NL}can break it{ELLIPSIS}{BP}{f5}{COLOUR:YELLOW}Jump with {BUTTON:X} and use {BUTTON:TRIANGLE} in mid-airto do a stomp.{BP}{END}
||大きなボックスがある。{NL}これ位の大きさのものなら、僕でも{NL}押したり引いたりして動かせるかも{NL}しれない…{BP}{f5}{COLOUR:YELLOW}大きな物にくっついて、{BUTTON:CIRCLE}を{NL}押しながら{BUTTON:D}の{COLOUR:CYAN}↑{COLOUR:YELLOW}で押すこと{NL}が、{BUTTON:D}の{COLOUR:CYAN}↓{COLOUR:YELLOW}で引くことが{NL}できる。{BP}{END}|This box is huge, but maybe I{NL}can move it{ELLIPSIS}{BP}{f5}{COLOUR:YELLOW}Push or pull big objects with {BUTTON:CIRCLE}{NL}and {BUTTON:D}{COLOUR:CYAN} {UP} {COLOUR:YELLOW}or{COLOUR:CYAN} {DOWN}{COLOUR:YELLOW}.{BP}{END}
||命の泉だ！{NL}命の泉からわき出る{NL}命の水を飲めば、体力を{NL}回復させることができるぞ！{BP}{END}|A life spring! The water can{NL}heal me.{BP}{END}
||命の泉からわき出る{NL}命の水を飲んだ！{BP}{f5}持っていた{ITEM:00}に命の水が{NL}注ぎ込まれた！{BP}{END}|You drank from the life spring!{NL}All {ITEM:00}{COLOUR:BLUE}s{COLOUR:WHITE} filled!{BP}{END}
||命の泉からわき出る{NL}命の水を飲んだ！{BP}{END}|You drank from the life spring!{BP}{END}
||命の泉がかれてしまっている。{NL}命の泉からわき出る{NL}命の水を飲めば、{NL}元気がでるのに…{BP}{f5}{ITEM:45}を使えば、命の泉を{NL}利用できるようになるぞ。{BP}{f5}{ITEM:45}はモンスターが{NL}持っている。{BP}{END}|The life spring could heal me ifit wasn't dry{ELLIPSIS}{BP}{f5}Foes drop {ITEM:45}{COLOUR:BLUE}s{COLOUR:WHITE} that fill{NL}springs.{BP}{END}
||{ITEM:ff}を手に入れた！{NL}パチンコの弾に使えるぞ。{BP}{END}|Found {ITEM:ff}!{NL}Use them with the slingshot.{BP}{END}
||アイテムが置いてあるけど、{NL}バリアがはられているので{NL}アイテムが取れない。{BP}{f5}{ITEM:44}を使えば、バリアが{NL}消えて、アイテムを取ることが{NL}できるようになるぞ。{BP}{f5}{ITEM:44}はモンスターが{NL}持っている。{BP}{END}|Item is sealed.{BP}{f5}Foes drop {ITEM:44}{COLOUR:BLUE}s{COLOUR:WHITE} to lift{NL}seals and take items.{BP}{END}
||{ITEM:45}を使った！{NL}命の泉がわいてきたぞ！{BP}{END}|Used {ITEM:45}!{NL}Life spring filled!{BP}{END}
||{ITEM:44}を使った！{NL}バリアが解けてアイテムを{NL}取れるようになったぞ！{BP}{END}|Used {ITEM:44}!{NL}Seal lifted, you can take the{NL}item!{BP}{END}
0x17498c|6|この先のガケは、少し高くなって{NL}いるようだ…{NL}{BP}{f5}{COLOUR:YELLOW}{BUTTON:CIRCLE}を押しながらガケから{NL}落ちると、体の向きに関係なく{NL}自動的にガケのふちにつかまる{NL}ことができるぞ。{NL}{BP}{END}|This cliff is too high{ELLIPSIS}{NL}{BP}{f5}{COLOUR:YELLOW}Grab the edge with {BUTTON:CIRCLE} when{NL}falling forward or backwards.{BP}{END}
||壁に鍵穴がある…{BP}{END}|It's a keyhole{ELLIPSIS}{BP}{END}
||大きな扉だ。{NL}扉は開かない…{NL}こことはべつの場所に、この扉を{NL}開けるための仕掛けがあるようだ。{BP}{END}|This door won't budge{ELLIPSIS} Maybe{NL}there's a way to open it nearby.{BP}{END}
||{COLOUR:WHITE}{END}|{COLOUR:WHITE}{END}
||{COLOUR:WHITE}　　　　　　　！{END}|{COLOUR:WHITE}!{END}
||{f5}　　　　　どうしよう…{END}|{f5}What should I do{ELLIPSIS}?{END}
0x18e334|12|ここに置いてあったアイドルは{NL}もう手に入れたぞ。{BP}{END}|I already got the idol.{BP}{END}
||アイドルが置いてあるけど、{NL}５つのバリアがはられているので{NL}アイドルが取れない…{BP}{f5}{ITEM:3c}を使えば、バリアを{NL}１つ消すことができるぞ。{BP}{END}|The idol is behind 5 of those{NL}seals{ELLIPSIS}{BP}{f5}An {ITEM:3c} would lift one.{BP}{END}
||アイドルが置いてあるけど、{NL}４つのバリアがはられているので{NL}アイドルが取れない…{BP}{f5}{ITEM:3c}を使えば、バリアを{NL}１つ消すことができるぞ。{BP}{END}|The idol is behind 4 of those{NL}seals{ELLIPSIS}{BP}{f5}An {ITEM:3c} would lift one.{BP}{END}
||アイドルが置いてあるけど、{NL}３つのバリアがはられているので{NL}アイドルが取れない…{BP}{f5}{ITEM:3c}を使えば、バリアを{NL}１つ消すことができるぞ。{BP}{END}|The idol is behind 3 of those{NL}seals{ELLIPSIS}{BP}{f5}An {ITEM:3c} would lift one.{BP}{END}
||アイドルが置いてあるけど、{NL}２つのバリアがはられているので{NL}アイドルが取れない…{BP}{f5}{ITEM:3c}を使えば、バリアを{NL}１つ消すことができるぞ。{BP}{END}|The idol is behind 2 of those{NL}seals{ELLIPSIS}{BP}{f5}An {ITEM:3c} would lift one.{BP}{END}
||アイドルが置いてあるけど、{NL}バリアがはられているので{NL}アイドルが取れない…{BP}{f5}{ITEM:3c}を使えば、バリアを{NL}消すことができるぞ。{BP}{END}|The idol is behind one last{NL}seal{ELLIPSIS}{BP}{f5}An {ITEM:3c} would lift it.{BP}{END}
||{ITEM:ff}を手に入れた！{BP}{END}|Found {ITEM:ff}!{BP}{END}
||{ITEM:3c}を使った！{NL}１つ目のバリアが解けたぞ！{BP}{END}|Used {ITEM:3c}!{NL}Seal 1 lifted!{BP}{END}
||{ITEM:3c}を使った！{NL}２つ目のバリアが解けたぞ！{BP}{END}|Used {ITEM:3c}!{NL}Seal 2 lifted!{BP}{END}
||{ITEM:3c}を使った！{NL}３つ目のバリアが解けたぞ！{BP}{END}|Used {ITEM:3c}!{NL}Seal 3 lifted!{BP}{END}
||{ITEM:3c}を使った！{NL}４つ目のバリアが解けたぞ！{BP}{END}|Used {ITEM:3c}!{NL}Seal 4 lifted!{BP}{END}
||{ITEM:3c}を使った！{NL}バリアが全部解けてアイドルを{NL}取れるようになったぞ！{BP}{END}|Used {ITEM:3c}!{NL}Last seal lifted, you can get{NL}the idol!{BP}{END}
0x1a5880|8|命の泉からわき出る{NL}命の水を飲んだ！{BP}{f5}持っていた{ITEM:00}に命の水が{NL}注ぎ込まれた！{BP}{END}|You drank from the life spring!{NL}All {ITEM:00}{COLOUR:BLUE}s{COLOUR:WHITE} filled!{BP}{END}
||命の泉からわき出る{NL}命の水を飲んだ！{BP}{END}|You drank from the life spring!{BP}{END}
||命の泉がかれてしまっている。{NL}命の泉からわき出る{NL}命の水を飲めば、{NL}元気がでるのに…{BP}{f5}{ITEM:45}を使えば、命の泉を{NL}利用できるようになるぞ。{BP}{f5}{ITEM:45}はモンスターが{NL}持っている。{BP}{END}|The life spring could heal me ifit wasn't dry{ELLIPSIS}{BP}{f5}Foes drop {ITEM:45}{COLOUR:BLUE}s{COLOUR:WHITE} that fill{NL}springs.{BP}{END}
||{ITEM:ff}を手に入れた！{BP}{END}|Found {ITEM:ff}!{BP}{END}
||アイテムが置いてあるけど、{NL}バリアがはられているので{NL}アイテムが取れない。{BP}{f5}{ITEM:44}を使えば、バリアが{NL}消えて、アイテムを取ることが{NL}できるようになるぞ。{BP}{f5}{ITEM:44}はモンスターが{NL}持っている。{BP}{END}|Item is sealed.{BP}{f5}Foes drop {ITEM:44}{COLOUR:BLUE}s{COLOUR:WHITE} to lift{NL}seals and take items.{BP}{END}
||壁に大きなドラがかけられている…{BP}{END}|A big gong{ELLIPSIS}{BP}{END}
||{ITEM:45}を使った！{NL}命の泉がわいてきたぞ！{BP}{END}|Used {ITEM:45}!{NL}Life spring filled!{BP}{END}
||{ITEM:44}を使った！{NL}バリアが解けてアイテムを{NL}取れるようになったぞ！{BP}{END}|Used {ITEM:44}!{NL}Seal lifted, you can take the{NL}item!{BP}{END}
0x1b7310|6|{ITEM:ff}を手に入れた！{BP}{END}|Found {ITEM:ff}!{BP}{END}
||{ITEM:ff}を手に入れた！{NL}パチンコの弾に使えるぞ。{BP}{END}|Found {ITEM:ff}!{NL}Use them with the slingshot.{BP}{END}
||アイテムが置いてあるけど、{NL}バリアがはられているので{NL}アイテムが取れない。{BP}{f5}{ITEM:44}を使えば、バリアが{NL}消えて、アイテムを取ることが{NL}できるようになるぞ。{BP}{f5}{ITEM:44}はモンスターが{NL}持っている。{BP}{END}|Item is sealed.{BP}{f5}Foes drop {ITEM:44}{COLOUR:BLUE}s{COLOUR:WHITE} to lift{NL}seals and take items.{BP}{END}
||扉は開かない…{NL}扉は木でできているぞ。{NL}何とかして壊せないかな？{BP}{END}|This wooden door won't open{ELLIPSIS}{NL}Maybe I can break it somehow?{BP}{END}
||{ITEM:44}を使った！{NL}バリアが解けてアイテムを{NL}取れるようになったぞ！{BP}{END}|Used {ITEM:44}!{NL}Seal lifted, you can take the{NL}item!{BP}{END}
||{ITEM:44}を使った！{NL}バリアが解けてアイテムを{NL}取れるようになったぞ！{BP}{END}|Used {ITEM:44}!{NL}Seal lifted, you can take the{NL}item!{BP}{END}
0x1c751c|1|扉は開かない…{BP}{END}|It won't open{ELLIPSIS}{BP}{END}
0x1e15d4|5|壁に鍵穴がある…{BP}{END}|It's a keyhole{ELLIPSIS}{BP}{END}
||壁に何か書いてあるようだが、{NL}暗くて全体が見えない…{BP}{END}|It's too dark to read it{ELLIPSIS}{BP}{END}
||扉には鍵がかかっている…{NL}となりの壁に鍵穴があるぞ。{BP}{END}|Locked{ELLIPSIS} There's a keyhole in thewall.{BP}{END}
||{ITEM:ff}を外した。{NL}{ITEM:ff}を手に入れた！{BP}{END}|{ITEM:ff} taken.{BP}{END}
||大きな石の柱だ。{NL}表面には文字と絵が彫られていて、{NL}下には何かをはめ込むための{NL}くぼみがある。{BP}{END}|A stone pillar with carvings and{NL}a bottom slot.{BP}{END}
0x1fd97c|1|だみー{BP}{END}|N/A{BP}{END}
0x217f10|4|壁に鍵穴がある…{BP}{END}|It's a keyhole{ELLIPSIS}{BP}{END}
||扉には鍵がかかっている…{NL}となりの壁に鍵穴があるぞ。{BP}{END}|Locked{ELLIPSIS} There's a keyhole in thewall.{BP}{END}
||壁に何か書いてあるようだが、{NL}暗くて全体が見えない…{BP}{END}|It's too dark to read it{ELLIPSIS}{BP}{END}
||だみー{BP}{END}|N/A{BP}{END}
0x228364|1|…{BP}{END}|{ELLIPSIS}{BP}{END}
0x234854|1|扉はビクともしない。{NL}どうやら閉じ込められて{NL}しまったようだ…{BP}{END}|The door won't budge, I'm{NL}trapped{ELLIPSIS}{BP}{END}
0x24a1e0|11|下に大きな穴があいていて、{NL}穴の底が見えない…{NL}こんな高い所から落ちたら{NL}大変だ…{BP}{f5}上にあるうんていにつかまって{NL}移動すれば先に進めるかも{NL}しれない…{BP}{END}|I can't see the bottom, it's a{NL}nasty fall{ELLIPSIS}{BP}{f5}Maybe I can cross using those{NL}bars{ELLIPSIS}{BP}{END}
||スイッチを押してみたけど、{NL}何も起こらない…{BP}{END}|Pressing the switch did nothing{ELLIPSIS}{BP}{END}
||配電盤だ。{NL}ヒューズが抜かれていて電気が{NL}通っていないようだ…{BP}{END}|This panel needs a fuse{ELLIPSIS}{BP}{END}
||配電盤だ。{NL}ヒューズがセットされたので電気が{NL}通ったようだ…{BP}{END}|The panel works now.{BP}{END}
||大きな顔の石像だ。{NL}片方の目が無くなっている…{BP}{END}|A big one-eyed stone statue{ELLIPSIS}{BP}{END}
||{ITEM:ff}が外れた。{NL}{ITEM:ff}を手に入れた！{BP}{END}|Found {ITEM:ff}!{BP}{END}
||大きな顔の石像だ。{NL}この赤い目玉は取れないようだ…{BP}{END}|A big stone statue. Its red eye{NL}is fixed{ELLIPSIS}{BP}{END}
||大きな顔の石像がうなり声を{NL}あげている…{BP}{END}|A howling big-faced stone{NL}statue{ELLIPSIS}{BP}{END}
||落石で入口がふさがれている…{BP}{END}|The path is blocked by a{NL}rockslide{ELLIPSIS}{BP}{END}
||{ITEM:1b}をセットした。{BP}{END}|{ITEM:1b} set.{BP}{END}
||{ITEM:1a}をセットした。{BP}{END}|{ITEM:1a} set.{BP}{END}
0x2582f4|7|大きな顔の石像だ。{NL}片方の目が無くなっている…{BP}{END}|A big one-eyed stone statue{ELLIPSIS}{BP}{END}
||{ITEM:ff}が外れた。{NL}{ITEM:ff}を手に入れた！{BP}{END}|Found {ITEM:ff}!{BP}{END}
||大きな顔の石像だ。{NL}この青い目玉は取れないようだ…{BP}{END}|A big stone statue. Its blue eyeis fixed{ELLIPSIS}{BP}{END}
||大きな顔の石像がうなり声を{NL}あげている…{BP}{END}|A howling big-faced stone{NL}statue{ELLIPSIS}{BP}{END}
||扉は開かない…{NL}部屋の奥に首のようなものが{NL}置いてあるのが見える。{BP}{END}|I see a statue head behind this{NL}locked gate{ELLIPSIS}{BP}{END}
||{ITEM:1b}をセットした。{BP}{END}|{ITEM:1b} set.{BP}{END}
||{ITEM:1a}をセットした。{BP}{END}|{ITEM:1a} set.{BP}{END}
0x26b01c|7|扉は開かない…{BP}{END}|It won't open{ELLIPSIS}{BP}{END}
||ん？{NL}この壁何か変だぞ…{BP}{END}|An odd wall{ELLIPSIS}{BP}{END}
||命の泉からわき出る{NL}命の水を飲んだ！{BP}{f5}持っていた{ITEM:00}に命の水が{NL}注ぎ込まれた！{BP}{END}|You drank from the life spring!{NL}All {ITEM:00}{COLOUR:BLUE}s{COLOUR:WHITE} filled!{BP}{END}
||命の泉からわき出る{NL}命の水を飲んだ！{BP}{END}|You drank from the life spring!{BP}{END}
||命の泉がかれてしまっている。{NL}命の泉からわき出る{NL}命の水を飲めば、{NL}元気がでるのに…{BP}{f5}{ITEM:45}を使えば、命の泉を{NL}利用できるようになるぞ。{BP}{f5}{ITEM:45}はモンスターが{NL}持っている。{BP}{END}|The life spring could heal me ifit wasn't dry{ELLIPSIS}{BP}{f5}Foes drop {ITEM:45}{COLOUR:BLUE}s{COLOUR:WHITE} that fill{NL}springs.{BP}{END}
||扉が開かなくなってしまった…{BP}{END}|It won't open{ELLIPSIS}{BP}{END}
||{ITEM:45}を使った！{NL}命の泉がわいてきたぞ！{BP}{END}|Used {ITEM:45}!{NL}Life spring filled!{BP}{END}
0x2850f4|10|スイッチを押してみたけど、{NL}何も起こらない…{BP}{END}|Pressing the switch did nothing{ELLIPSIS}{BP}{END}
||スイッチを押してみたけど、{NL}何も起こらない…{BP}{END}|Pressing the switch did nothing{ELLIPSIS}{BP}{END}
||落石で入口がふさがれている…{BP}{END}|The path is blocked by a{NL}rockslide{ELLIPSIS}{BP}{END}
||扉には鍵がかかっている…{BP}{END}|It's locked{ELLIPSIS}{BP}{END}
||配電盤だ。{NL}ヒューズが抜かれていて電気が{NL}通っていないようだ…{BP}{END}|This panel needs a fuse{ELLIPSIS}{BP}{END}
||配電盤だ。{NL}ヒューズがセットされたので電気が{NL}通ったようだ…{BP}{END}|The panel works now.{BP}{END}
||配電盤だ。{NL}ヒューズが抜かれていて電気が{NL}通っていないようだ…{BP}{END}|This panel needs a fuse{ELLIPSIS}{BP}{END}
||配電盤だ。{NL}ヒューズがセットされたので電気が{NL}通ったようだ…{BP}{END}|The panel works now.{BP}{END}
||扉は開かない…{NL}何とかして扉を開けられないかな？{BP}{END}|The door is closed{ELLIPSIS} Is there a{NL}way to open it?{BP}{END}
||{COLOUR:WHITE}{END}|{COLOUR:WHITE}{END}
0x29e168|28|{COLOUR:WHITE}　　　　　危ない！！{END}|{COLOUR:WHITE}Watch out!{END}
||{f5}　　　　助かったぁ…{NL}　　　　ありがとう竜さん{END}|{f5}Phew{ELLIPSIS}{NL}Thank you, Mr. Dragon.{END}
||{f5}　　おとなしくしていろって、{NL}　　クイントに言われただろ？{END}|{f5}Didn't Quint ask you to behave?{END}
||{f5}　　あれ、クイントさんは？{END}|{f5}Where is he?{END}
||{f5}　　クイントは、グディア族に{NL}　　捕まってしまった{END}|{f5}The Gudians captured him.{END}
||{f5}私達はね、カーラという娘を助けに{NL}来たケルファー族の戦士なんだ{END}|{f5}We are Kelferi warriors. We cameto rescue a girl named Carla.{END}
||{f5}　　　　　　せんし？{END}|{f5}Warriors?{END}
||{f5}グディア族にカーラの持つ強い魔力{NL}を悪用させないために戦っている{END}|{f5}We have to stop the Gudians{NL}from misusing Carla's magic.{END}
||{f5}　カーラをさらったグディア族を{NL}　追って、ここまできたんだが一{END}|{f5}We came here chasing her{NL}captors.{END}
||{f5}　一なぜだか、急にサイレンが{NL}　　鳴り出してね…{END}|{f5}But an alarm suddenly went off{ELLIPSIS}{END}
||{f5}　　　　　それって…{END}|{f5}The alarm{ELLIPSIS}{END}
||{f5}　　　私の大きな体では、{NL}　　　これ以上は進めない…{END}|{f5}I'm too large to go in there{ELLIPSIS}{END}
||{f5}　　　…ご、ごめんなさい！{END}|{f5}It's my fault!{END}
||{f5}　　　一そうか、{NL}　　　　まぁ仕方がないさ{END}|{f5}It is what it is.{END}
||{f5}　　何とかして、クイントを{NL}　　助け出すよ{END}|{f5}I'll rescue Quint!{END}
||{f5}　　クイントさんは、どこに{NL}　　捕まっているの？{END}|{f5}Where is he?{END}
||{f5}　　　恐らく、この奥にある{NL}　　　地下牢だろう…{END}|{f5}Probably in the jail up ahead{ELLIPSIS}{END}
||{f5}　　　　　僕が行くよ{END}|{f5}I'll go.{END}
||{f5}　　　　　　　…{END}|{f5}{ELLIPSIS}{END}
||{f5}　僕がおとなしくしていなかった{NL}　のが悪いんだし…{END}|{f5}It's my fault for misbehaving{ELLIPSIS}{END}
||{f5}　　　…君には危険すぎる{END}|{f5}It's too dangerous for you{ELLIPSIS}{END}
||{f5}　でも、僕でないと地下牢まで{NL}　行けないでしょ？{END}|{f5}But you can't get through,{NL}right?{END}
||{f5}　　　　　　……{END}|{f5}{ELLIPSIS}{END}
||{f5}　　　　　　ねっ、{END}|{f5}Right{ELLIPSIS}{END}
||{f5}　　　…くれぐれも、{NL}　　　　気をつけるんだぞ{END}|{f5}Please, be careful{ELLIPSIS}{END}
||{f5}　　　じゃ、行ってくるね、{NL}　　　竜さん{END}|{f5}OK, I'm off, Mr. Dragon.{END}
||{f5}　　　エドルと呼んでくれ{END}|{f5}The name's Edol.{END}
||{f5}　　　わかった、エドルさん{END}|{f5}Got it, Mr. Edol.{END}
0x2b4f9c|1|だみー{BP}{END}|N/A{BP}{END}
0x2caebc|2|壁に{ITEM:1c}がセットされている。{BP}{END}|Some {ITEM:1c}{COLOUR:BLUE}s{COLOUR:WHITE}.{BP}{END}
||{ITEM:ff}を３つ手に入れた！{BP}{END}|Found 3 {ITEM:ff}{COLOUR:BLUE}s{COLOUR:WHITE}!{BP}{END}
0x2e5a14|48|扉は電子ロックが作動して{NL}いるので開かない…{BP}{f5}おじさんは眠ってしまった{NL}ようだ…{BP}{f5}この先の地下水脈にあるという{NL}エネルギー中継所へ行こう！{BP}{END}|The door is closed by an{NL}electronic lock{ELLIPSIS}{BP}{f5}I think Pops is asleep{ELLIPSIS}{BP}{f5}I'll go to the power plant past{NL}the sewers!{BP}{END}
||扉は電子ロックが作動して{NL}いるので開かない…{BP}{END}|The door is closed by an{NL}electronic lock{ELLIPSIS}{BP}{END}
||{ITEM:ff}を手に入れた！{BP}{END}|Found {ITEM:ff}!{BP}{END}
||{ITEM:ff}を手に入れた！{NL}パチンコの弾に使えるぞ。{BP}{END}|Found {ITEM:ff}!{NL}Use them with the slingshot.{BP}{END}
||{ITEM:ff}を手に入れた！{BP}{END}|Found {ITEM:ff}!{BP}{END}
||{ITEM:ff}を手に入れた！{BP}{END}|Found {ITEM:ff}!{BP}{END}
